delta,iter,V_PPI,lower_bound,upper_bound
0.06,9,39.02681882393094,6.508328986284454,45.424429488298614
0.07,0,39.00439049670793,18.993173379398357,41.33337809512712
0.07,1,39.818207597487294,24.81564221357616,43.30581006979259
0.07,2,39.584669848853984,12.93707730429832,50.392220279151836
0.07,3,39.58272087982269,19.630570534974055,37.005281094819026
0.07,4,38.75978404554735,24.55584651502977,37.11565882238756
0.07,5,39.302726855991644,14.423727145908636,39.302726855991644
0.07,6,38.7780409560214,28.355586122037025,38.17409707164869
0.07,7,39.562671818605,9.324665226808122,41.6755434654861
0.07,8,39.07034945621107,13.348543883701304,39.07034945621107
0.07,9,39.37490114478349,14.38295587805986,39.23547670153856
0.08,0,39.574253804796705,29.53260207902766,39.574253804796705
0.08,1,39.68424218464288,32.10959094334039,39.68424218464288
0.08,2,38.75442147125925,21.03093170990671,38.75442147125925
0.08,3,39.36883823503119,16.78626339067084,39.36883823503119
0.08,4,39.25526387067681,19.168538635691455,39.25526387067681
0.08,5,39.67077875836917,16.94044161542483,39.67077875836917
0.08,6,39.69946276835035,16.363828536782968,39.69946276835035
0.08,7,39.787079565692984,20.689070456195914,39.787079565692984
0.08,8,39.77282159070539,40.32753913144636,40.32753913144636
0.08,9,38.60024529521678,9.74158173625682,38.60024529521678
0.09,0,38.835573747480844,38.835573747480844,38.835573747480844
0.09,1,39.44902381824369,39.44902381824369,39.44902381824369
0.09,2,39.015796172408244,39.015796172408244,39.015796172408244
0.09,3,39.14124301827159,39.14124301827159,39.14124301827159
0.09,4,38.65724436677283,38.65724436677283,38.65724436677283
0.09,5,39.2417189928913,39.2417189928913,39.2417189928913
0.09,6,39.40294214576317,39.40294214576317,39.40294214576317
0.09,7,38.8969495957515,38.8969495957515,38.8969495957515
0.09,8,39.271790565749704,39.271790565749704,39.271790565749704
0.09,9,39.0079918462614,39.0079918462614,39.0079918462614
